raw_id,provider_id,provider_name,source_url,raw_title,raw_url,raw_description,raw_category,raw_subcategory,raw_tags,raw_duration,raw_level,raw_language,raw_certificate_info,raw_badge_info,raw_price_info,raw_rating,raw_reviews_count,raw_enrollment_count,raw_image_url,raw_instructors,raw_json,scraped_at,status,error_message
cognitiveclass_004c453b,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Evolve Your Code Enhance Projects With Ai And Vibe Coding,https://cognitiveclass.ai/courses/evolve-your-code-enhance-projects-with-ai-and-vibe-coding,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/evolve-your-code-enhance-projects-with-ai-and-vibe-coding""}",2026-05-23 14:13:58,active,
cognitiveclass_0089419b,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Introduction To Neural Style Transfer,https://cognitiveclass.ai/courses/introduction-to-neural-style-transfer,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/introduction-to-neural-style-transfer""}",2026-05-23 14:13:58,active,
cognitiveclass_000fd66f,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Build Agentic And Multi Agent Systems In Python Using Beeai,https://cognitiveclass.ai/courses/build-agentic-and-multi-agent-systems-in-python-using-beeai,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/build-agentic-and-multi-agent-systems-in-python-using-beeai""}",2026-05-23 14:13:58,active,
cognitiveclass_0065f86c,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Building Ai Powered Chatbots Without Programming 081Fbb2E 0546 436E A757 Cd7094812905,https://cognitiveclass.ai/courses/building-ai-powered-chatbots-without-programming-081fbb2e-0546-436e-a757-cd7094812905,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/building-ai-powered-chatbots-without-programming-081fbb2e-0546-436e-a757-cd7094812905""}",2026-05-23 14:13:58,active,
cognitiveclass_0081405c,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Utmist Machine Learning Fundamentals,https://cognitiveclass.ai/courses/utmist-machine-learning-fundamentals,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/utmist-machine-learning-fundamentals""}",2026-05-23 14:13:58,active,
cognitiveclass_00701141,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Build A Phishing Filter With Finetuned Bert And Granite,https://cognitiveclass.ai/courses/build-a-phishing-filter-with-finetuned-bert-and-granite,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/build-a-phishing-filter-with-finetuned-bert-and-granite""}",2026-05-23 14:13:58,active,
cognitiveclass_006b11cf,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Solve Challenging Problems Using Advanced Prompt Engineering,https://cognitiveclass.ai/courses/solve-challenging-problems-using-advanced-prompt-engineering,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/solve-challenging-problems-using-advanced-prompt-engineering""}",2026-05-23 14:13:58,active,
cognitiveclass_003a5bd0,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Build A Baseball Data Analysis Agent W Langgraph,https://cognitiveclass.ai/courses/build-a-baseball-data-analysis-agent-w-langgraph,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/build-a-baseball-data-analysis-agent-w-langgraph""}",2026-05-23 14:13:58,active,
cognitiveclass_0039a384,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Build An Ai Powered Halloween Quiz Game With Gradio Gpt 5,https://cognitiveclass.ai/courses/build-an-ai-powered-halloween-quiz-game-with-gradio-gpt-5,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/build-an-ai-powered-halloween-quiz-game-with-gradio-gpt-5""}",2026-05-23 14:13:58,active,
cognitiveclass_00009741,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Build An Mcp Server And Langgraph Js Agent To Manage Gmail,https://cognitiveclass.ai/courses/build-an-mcp-server-and-langgraph-js-agent-to-manage-gmail,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/build-an-mcp-server-and-langgraph-js-agent-to-manage-gmail""}",2026-05-23 14:13:58,active,
cognitiveclass_006baadc,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Autogen Wardrobe Wizard A Multiagent Fashion System,https://cognitiveclass.ai/courses/autogen-wardrobe-wizard-a-multiagent-fashion-system,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/autogen-wardrobe-wizard-a-multiagent-fashion-system""}",2026-05-23 14:13:58,active,
cognitiveclass_007ca5ee,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Multilingual Ai Agents For Poetry Using Gpt 5 Autogen Ag2,https://cognitiveclass.ai/courses/multilingual-ai-agents-for-poetry-using-gpt-5-autogen-ag2,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/multilingual-ai-agents-for-poetry-using-gpt-5-autogen-ag2""}",2026-05-23 14:13:58,active,
cognitiveclass_004b58ee,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Build A Fashion Design Web App With Dall E Gradio And Sam,https://cognitiveclass.ai/courses/build-a-fashion-design-web-app-with-dall-e-gradio-and-sam,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/build-a-fashion-design-web-app-with-dall-e-gradio-and-sam""}",2026-05-23 14:13:58,active,
cognitiveclass_003c8294,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Multi Agent Restaurant Chatbot With Vision Llm Crewai Rag,https://cognitiveclass.ai/courses/multi-agent-restaurant-chatbot-with-vision-llm-crewai-rag,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/multi-agent-restaurant-chatbot-with-vision-llm-crewai-rag""}",2026-05-23 14:13:58,active,
cognitiveclass_0028c882,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Fine Tune A Vision Model For Image Classification With Lora,https://cognitiveclass.ai/courses/fine-tune-a-vision-model-for-image-classification-with-lora,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/fine-tune-a-vision-model-for-image-classification-with-lora""}",2026-05-23 14:13:58,active,
cognitiveclass_003d75ad,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Build Your Interview Coach With Llama Openai Whisper Tts,https://cognitiveclass.ai/courses/build-your-interview-coach-with-llama-openai-whisper-tts,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/build-your-interview-coach-with-llama-openai-whisper-tts""}",2026-05-23 14:13:58,active,
cognitiveclass_0066ac66,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Ai Code Review Showdown Anthropic S Claude Vs Ibm S Granite,https://cognitiveclass.ai/courses/ai-code-review-showdown-anthropic-s-claude-vs-ibm-s-granite,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/ai-code-review-showdown-anthropic-s-claude-vs-ibm-s-granite""}",2026-05-23 14:13:58,active,
cognitiveclass_0057a4ad,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Build Multi Agent Santa Quiz Game W Granite Crewai Gradio,https://cognitiveclass.ai/courses/build-multi-agent-santa-quiz-game-w-granite-crewai-gradio,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/build-multi-agent-santa-quiz-game-w-granite-crewai-gradio""}",2026-05-23 14:13:58,active,
cognitiveclass_009534db,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Optimize Models With Optuna Adaptive Hyperparameter Tuning,https://cognitiveclass.ai/courses/optimize-models-with-optuna-adaptive-hyperparameter-tuning,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/optimize-models-with-optuna-adaptive-hyperparameter-tuning""}",2026-05-23 14:13:58,active,
cognitiveclass_0074991c,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Light Graph Convolutional Network For Recommender Systems,https://cognitiveclass.ai/courses/light-graph-convolutional-network-for-recommender-systems,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/light-graph-convolutional-network-for-recommender-systems""}",2026-05-23 14:13:58,active,
cognitiveclass_004e0de7,cognitiveclass,CognitiveClass (IBM),https://cognitiveclass.ai/sitemap.xml,Explainability In Graph Neural Networks Molecular Insights,https://cognitiveclass.ai/courses/explainability-in-graph-neural-networks-molecular-insights,,Data Science,,IBM;Data Science;AI;Cloud,,intermediate,English,,,free,,,,,,"{""url"": ""https://cognitiveclass.ai/courses/explainability-in-graph-neural-networks-molecular-insights""}",2026-05-23 14:13:58,active,
